family,product_name,product_slug,product_url,fetched_at,cpu,ram,base_storage,snapshots,port,base_monthly_price,cpu_count,ram_gb,storage_primary_gb,storage_primary_type,port_speed_mbps,1m_effective_monthly,1m_setup_fee,1m_total,3m_effective_monthly,3m_setup_fee,3m_total,6m_effective_monthly,6m_setup_fee,6m_total,6m_discount,12m_effective_monthly,12m_setup_fee,12m_total,12m_discount
Cloud VPS,Cloud VPS 10,cloud-vps-10,https://contabo.com/en/vps/cloud-vps-10/,2026-05-05T08:21:03.331Z,4 vCPU Cores,8 GB RAM,75 GB NVMe or 150 GB SSD,1 Snapshot,200 Mbit/s Port,4.5,4,8,75,NVMe,200,4.5,4.5,9,4.5,0,13.5,4.05,2.25,26.55,2.7,3.6,0,43.2,10.8
Cloud VPS,Cloud VPS 20,cloud-vps-20,https://contabo.com/en/vps/cloud-vps-20/,2026-05-05T08:21:03.184Z,6 vCPU Cores,12 GB RAM,100 GB NVMe or 200 GB SSD,2 Snapshots,300 Mbit/s Port,7,6,12,100,NVMe,300,7,0,7,7,0,21,6.3,0,37.8,4.2,5.6,0,67.2,16.8
Cloud VPS,Cloud VPS 30,cloud-vps-30,https://contabo.com/en/vps/cloud-vps-30/,2026-05-05T08:21:03.132Z,8 vCPU Cores,24 GB RAM,200 GB NVMe or 400 GB SSD,3 Snapshots,600 Mbit/s Port,14,8,24,200,NVMe,600,14,0,14,14,0,42,12.6,0,75.6,8.4,11.2,0,134.4,33.6
Cloud VPS,Cloud VPS 40,cloud-vps-40,https://contabo.com/en/vps/cloud-vps-40/,2026-05-05T08:21:03.446Z,12 vCPU Cores,48 GB RAM,250 GB NVMe or 500 GB SSD,3 Snapshots,800 Mbit/s Port,25,12,48,250,NVMe,800,25,0,25,25,0,75,22.5,0,135,15,20,0,240,60
Cloud VPS,Cloud VPS 50,cloud-vps-50,https://contabo.com/en/vps/cloud-vps-50/,2026-05-05T08:21:07.608Z,16 vCPU Cores,64 GB RAM,300 GB NVMe or 600 GB SSD,3 Snapshots,1 Gbit/s Port,37,16,64,300,NVMe,1000,37,0,37,37,0,111,33.3,0,199.8,22.2,29.6,0,355.2,88.8
Cloud VPS,Cloud VPS 60,cloud-vps-60,https://contabo.com/en/vps/cloud-vps-60/,2026-05-05T08:21:07.877Z,18 vCPU Cores,96 GB RAM,350 GB NVMe or 700 GB SSD,3 Snapshots,1 Gbit/s Port,49,18,96,350,NVMe,1000,49,0,49,49,0,147,44.1,0,264.6,29.4,39.2,0,470.4,117.6
Storage VPS,Storage VPS 10,storage-vps-10,https://contabo.com/en/storage-vps/storage-vps-10/,2026-05-05T08:21:03.771Z,2 vCPU Cores,4 GB RAM,300 GB SSD,,200 Mbit/s Port,4.5,2,4,300,SSD,200,4.5,4.5,9,4.5,0,13.5,4.05,2.25,26.55,2.7,3.6,0,43.2,10.8
Storage VPS,Storage VPS 20,storage-vps-20,https://contabo.com/en/storage-vps/storage-vps-20/,2026-05-05T08:21:03.796Z,3 vCPU Cores,8 GB RAM,400 GB SSD,,300 Mbit/s Port,7,3,8,400,SSD,300,7,0,7,7,0,21,6.3,0,37.8,4.2,5.6,0,67.2,16.8
Storage VPS,Storage VPS 30,storage-vps-30,https://contabo.com/en/storage-vps/storage-vps-30/,2026-05-05T08:21:06.469Z,6 vCPU Cores,18 GB RAM,1 TB SSD,,600 Mbit/s Port,14,6,18,1000,SSD,600,14,0,14,14,0,42,12.6,0,75.6,8.4,11.2,0,134.4,33.6
Storage VPS,Storage VPS 40,storage-vps-40,https://contabo.com/en/storage-vps/storage-vps-40/,2026-05-05T08:21:04.137Z,8 vCPU Cores,30 GB RAM,1.2 TB SSD,,800 Mbit/s Port,25,8,30,1200,SSD,800,25,0,25,25,0,75,22.5,0,135,15,20,0,240,60
Storage VPS,Storage VPS 50,storage-vps-50,https://contabo.com/en/storage-vps/storage-vps-50/,2026-05-05T08:21:06.691Z,14 vCPU Cores,50 GB RAM,1.4 TB SSD,,1 Gbit/s Port,37,14,50,1400,SSD,1000,37,0,37,37,0,111,33.3,0,199.8,22.2,29.6,0,355.2,88.8
Cloud VDS,Cloud VDS S,vds-s,https://contabo.com/en/vds/vds-s/,2026-05-05T08:21:03.361Z,3 Physical Cores,24 GB RAM,180 GB NVMe,,250 Mbit/s Port,34.4,3,24,180,NVMe,250,34.4,0,34.4,34.4,0,103.2,32.68,0,196.08,10.32,27.52,0,330.24,82.56
Cloud VDS,Cloud VDS M,vds-m,https://contabo.com/en/vds/vds-m/,2026-05-05T08:21:08.195Z,4 Physical Cores,32 GB RAM,240 GB NVMe,,500 Mbit/s Port,44.8,4,32,240,NVMe,500,44.8,0,44.8,44.8,0,134.4,42.56,0,255.36,13.44,35.84,0,430.08,107.52
Cloud VDS,Cloud VDS L,vds-l,https://contabo.com/en/vds/vds-l/,2026-05-05T08:21:05.907Z,6 Physical Cores,48 GB RAM,360 GB NVMe,,750 Mbit/s Port,64,6,48,360,NVMe,750,64,0,64,64,0,192,60.8,0,364.8,19.2,51.2,0,614.4,153.6
Cloud VDS,Cloud VDS XL,vds-xl,https://contabo.com/en/vds/vds-xl/,2026-05-05T08:21:06.985Z,8 Physical Cores,64 GB RAM,480 GB NVMe,,1 Gbit/s Port,82.4,8,64,480,NVMe,1000,82.4,0,82.4,82.4,0,247.2,78.28,0,469.68,24.72,65.92,0,791.04,197.76
Cloud VDS,Cloud VDS XXL,vds-xxl,https://contabo.com/en/vds/vds-xxl/,2026-05-05T08:21:06.351Z,12 Physical Cores,96 GB RAM,720 GB NVMe,,1 Gbit/s Port,119,12,96,720,NVMe,1000,119,0,119,119,0,357,113.05,0,678.3,35.7,95.2,0,1142.4,285.6
